Sample,Group
SRR2130741,Qatari
SRR2130382,Qatari
SRR2125349,Qatari
SRR2141761,Qatari
SRR2969787,Qatari
SRR2969645,Qatari
SRR2130972,Qatari
SRR2130778,Qatari
SRR2130431,Qatari
SRR2125434,Qatari
SRR2130928,Qatari
SRR2130823,Qatari
SRR2130701,Qatari
SRR2130405,Qatari
SRR2969670,Qatari
SRR2130695,Qatari
SRR2130540,Qatari
SRR2125298,Qatari
SRR2130836,Qatari
SRR2130753,Qatari
SRR2130628,Qatari
SRR2130739,Qatari
SRR2130510,Qatari
SRR2130934,Qatari
SRR2969766,Middle East
SRR2969799,Africa
SRR2141754,Qatari
SRR2969826,Middle East
SRR2125287,Qatari
SRR2130803,Qatari
SRR2130630,Qatari
SRR2130723,Qatari
SRR2130848,Qatari
SRR2969675,Qatari
SRR2969722,South Asia
SRR2130940,Qatari
SRR2130639,Qatari
SRR2969726,Middle East
SRR2125351,Qatari
SRR2130601,Qatari
SRR2130771,Qatari
SRR2969653,Qatari
SRR2125365,Qatari
SRR2130417,Qatari
SRR2141776,Qatari
SRR2130885,Qatari
SRR2130737,Qatari
SRR2969949,Qatari
SRR2969779,Africa
SRR2130583,Qatari
SRR2130948,Qatari
SRR2130711,Qatari
SRR2130460,Qatari
SRR2969706,Qatari
SRR2130719,Qatari
SRR2125352,Qatari
SRR2969842,Middle East
SRR2130652,Qatari
SRR2969632,Qatari
SRR2125276,Qatari
SRR2125390,Qatari
SRR2130509,Qatari
SRR2130742,Qatari
SRR2969749,South Asia
SRR2130841,Qatari
SRR2969957,South Asia
SRR2125409,Qatari
SRR2125407,Qatari
SRR2130660,Qatari
SRR2130473,Qatari
SRR2969743,South Asia
SRR2130553,Qatari
SRR2141739,Qatari
SRR2130599,Qatari
SRR2130856,Qatari
SRR2141783,Qatari
SRR2969764,East Asia
SRR2969778,Middle East
SRR2125325,Qatari
SRR2130718,Qatari
SRR2130877,Qatari
SRR2130421,Qatari
SRR2969893,Middle East
SRR2130969,Qatari
SRR2130411,Qatari
SRR2125363,Qatari
SRR2130371,Qatari
SRR2969819,America
SRR2125384,Qatari
SRR2969808,Middle East
SRR2969838,Africa
SRR2130505,Qatari
SRR2130574,Qatari
SRR2125364,Qatari
SRR2130623,Qatari
SRR2125296,Qatari
SRR2130532,Qatari
SRR2969898,Middle East
SRR2125285,Qatari
SRR2130487,Qatari
SRR2130887,Qatari
SRR2130724,Qatari
SRR2969833,South Asia
SRR2130822,Qatari
SRR2130507,Qatari
SRR2130415,Qatari
SRR2130641,Qatari
SRR2130872,Qatari
SRR2969895,Qatari
SRR2969891,Middle East
SRR2969907,Middle East
SRR2130963,Qatari
SRR2130752,Qatari
SRR2130883,Qatari
SRR2969935,Middle East
SRR2969725,South Asia
SRR2130508,Qatari
SRR2130843,Qatari
SRR2141760,Qatari
SRR2130906,Qatari
SRR2969796,Middle East
SRR2130388,Qatari
SRR2130464,Qatari
SRR2969777,Middle East
SRR2969821,South Asia
SRR2130568,Qatari
SRR2130593,Qatari
SRR2125419,Qatari
SRR2130576,Qatari
SRR2130379,Qatari
SRR2969831,South Asia
SRR2130882,Qatari
SRR2130481,Qatari
SRR2141763,Qatari
SRR2125362,Qatari
SRR2130562,Qatari
SRR2130400,Qatari
SRR2969900,Middle East
SRR2969919,Middle East
SRR2969692,Qatari
SRR2130424,Qatari
SRR2130447,Qatari
SRR2969628,Qatari
SRR2969832,South Asia
SRR2141753,Qatari
SRR2130688,Qatari
SRR2130930,Qatari
SRR2130514,Qatari
SRR2141740,Qatari
SRR2130385,Qatari
SRR2130392,Qatari
SRR2130616,Qatari
SRR2130810,Qatari
SRR2130707,Qatari
SRR2141723,Qatari
SRR2130875,Qatari
SRR2125319,Qatari
SRR2130785,Qatari
SRR2969661,Qatari
SRR2130703,Qatari
SRR2125380,Qatari
SRR2969610,Qatari
SRR2125341,Qatari
SRR2969809,Middle East
SRR2969902,Middle East
SRR2130432,Qatari
SRR2130902,Qatari
SRR2130414,Qatari
SRR2125429,Qatari
SRR2969889,Qatari
SRR2130694,Qatari
SRR2969959,Middle East
SRR2130789,Qatari
SRR2130976,Qatari
SRR2130535,Qatari
SRR2969883,Middle East
SRR2969887,Middle East
SRR2130469,Qatari
SRR2130452,Qatari
SRR2130600,Qatari
SRR2969685,South Asia
SRR2130941,Qatari
SRR2125336,Qatari
SRR2130964,Qatari
SRR2130835,Qatari
SRR2130767,Qatari
SRR2130821,Qatari
SRR2130573,Qatari
SRR2141796,Qatari
SRR2125348,Qatari
SRR2969830,South Asia
SRR2130485,Qatari
SRR2969910,America
SRR2130831,Qatari
SRR2130818,Qatari
SRR2130749,Qatari
SRR2130519,Qatari
SRR2130386,Qatari
SRR2969742,Middle East
SRR2125426,Qatari
SRR2969753,South Asia
SRR2969643,Qatari
SRR2130632,Qatari
SRR2130426,Qatari
SRR2130435,Qatari
SRR2125324,Qatari
SRR2969695,Qatari
SRR2141741,Qatari
SRR2130860,Qatari
SRR2969863,Qatari
SRR2130782,Qatari
SRR2130744,Qatari
SRR2130905,Qatari
SRR2125301,Qatari
SRR2125370,Qatari
SRR2969782,Qatari
SRR2130664,Qatari
SRR2130731,Qatari
SRR2130832,Qatari
SRR2141718,Qatari
SRR2125401,Qatari
SRR2969822,South Asia
SRR2125340,Qatari
SRR2130936,Qatari
SRR2130924,Qatari
SRR2130484,Qatari
SRR2969839,Africa
SRR2130912,Qatari
SRR5264034,Qatari
SRR2125379,Qatari
SRR2130892,Qatari
SRR2969862,South Asia
SRR2130698,Qatari
SRR2969802,Middle East
SRR2130814,Qatari
SRR2130691,Qatari
SRR2130362,Qatari
SRR2130675,Qatari
SRR2130381,Qatari
SRR2130811,Qatari
SRR2130659,Qatari
SRR2130566,Qatari
SRR2125347,Qatari
SRR2141758,Qatari
SRR2130804,Qatari
SRR2125410,Qatari
SRR2141742,Qatari
SRR2969844,Middle East
SRR2130876,Qatari
SRR2130544,Qatari
SRR2141738,Qatari
SRR2969732,Middle East
SRR2130563,Qatari
SRR2969745,Qatari
SRR2130973,Qatari
SRR2130483,Qatari
SRR2969888,Qatari
SRR2969920,Africa
SRR2130603,Qatari
SRR2969941,Africa
SRR2141784,Qatari
SRR2969700,Qatari
SRR2130673,Qatari
SRR2130428,Qatari
SRR2130482,Qatari
SRR2125397,Qatari
SRR2125294,Qatari
SRR2125282,Qatari
SRR2130699,Qatari
SRR2130638,Qatari
SRR2141769,Qatari
SRR2969674,Qatari
SRR2130506,Qatari
SRR2141788,Qatari
SRR2130614,Qatari
SRR2130710,Qatari
SRR2969681,Qatari
SRR2130734,Qatari
SRR2969914,Qatari
SRR2130609,Qatari
SRR2125354,Qatari
SRR2141780,Qatari
SRR2130868,Qatari
SRR2130730,Qatari
SRR2125281,Qatari
SRR2130462,Qatari
SRR2125342,Qatari
SRR2130534,Qatari
SRR2130792,Qatari
SRR2141757,Qatari
SRR2125403,Qatari
SRR2969772,Middle East
SRR2130636,Qatari
SRR2130542,Qatari
SRR2130397,Qatari
SRR2125383,Qatari
SRR2969715,Qatari
SRR2125421,Qatari
SRR2130968,Qatari
SRR2130654,Qatari
SRR2130794,Qatari
SRR2130383,Qatari
SRR2130413,Qatari
SRR2130932,Qatari
SRR2125318,Qatari
SRR2130436,Qatari
SRR2130561,Qatari
SRR2130490,Qatari
SRR2969789,Qatari
SRR2130916,Qatari
SRR2969845,Africa
SRR2130765,Qatari
SRR2130451,Qatari
SRR2969619,Qatari
SRR2969620,Qatari
SRR2130433,Qatari
SRR2130808,Qatari
SRR2130489,Qatari
SRR5264032,Qatari
SRR2130951,Qatari
SRR2969712,Qatari
SRR2130669,Qatari
SRR2969633,Qatari
SRR2969858,South Asia
SRR2130390,Qatari
SRR2130780,Qatari
SRR2130830,Qatari
SRR2969926,Middle East
SRR2130873,Qatari
SRR2130602,Qatari
SRR2130523,Qatari
SRR2969690,Middle East
SRR2130537,Qatari
SRR2141746,Qatari
